isoform,gene_name,insertion_name,chrom,start,stop,instrand,genstrand,classification,overlap_count
0,1,2,3,4,5,6,7,8,9
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,junction,10
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000661136.1,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,intron,0
ENST00000661136.1,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,intron,0
ENST00000661136.1,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000661136.1,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000661136.1,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,junction,102
ENST00000661136.1,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,intron,0
ENST00000661136.1,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000661136.1,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000661136.1,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,junction,146
ENST00000661136.1,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,junction,12
ENST00000661136.1,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000661136.1,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000661136.1,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000661136.1,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,intron,0
ENST00000661136.1,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,intron,0
ENST00000661136.1,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000661136.1,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000661136.1,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,junction,799
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,junction,10
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000401018.5,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,intron,0
ENST00000401018.5,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,intron,0
ENST00000401018.5,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000401018.5,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000401018.5,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000401018.5,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000401018.5,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,junction,102
ENST00000401018.5,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,intron,0
ENST00000401018.5,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000401018.5,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000401018.5,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000401018.5,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000401018.5,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,junction,146
ENST00000401018.5,LINC01356,LTR7_range=chr1:112825660-112826054_strand=-,chr1,112825660,112826054,-,-,junction,12
ENST00000401018.5,LINC01356,MER41B_range=chr1:112826118-112826179_strand=-,chr1,112826118,112826179,-,-,intron,0
ENST00000401018.5,LINC01356,LTR2_range=chr1:112826179-112826631_strand=+,chr1,112826179,112826631,+,-,intron,0
ENST00000401018.5,LINC01356,Harlequin-int_range=chr1:112826631-112827533_strand=+,chr1,112826631,112827533,+,-,intron,0
ENST00000401018.5,LINC01356,Harlequin-int_range=chr1:112827509-112831188_strand=+,chr1,112827509,112831188,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820531-112820926_strand=-,chr1,112820531,112820926,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112820926-112821141_strand=-,chr1,112820926,112821141,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112821142-112822269_strand=-,chr1,112821142,112822269,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822263-112822629_strand=-,chr1,112822263,112822629,-,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112822629-112823232_strand=-,chr1,112822629,112823232,-,-,intron,0
ENST00000401018.5,LINC01356,AluY_range=chr1:112823232-112823541_strand=+,chr1,112823232,112823541,+,-,intron,0
ENST00000401018.5,LINC01356,HERVH-int_range=chr1:112823541-112825658_strand=-,chr1,112823541,112825658,-,-,intron,0
